# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 5499  Weld ON: 5499  Weave: 5499  Patterns: Circle
# Phases: ACCEL: 746  CRUISE: 3910  DECEL: 841  STOP: 2

-63.308, 21.966, 19.957, 160.763, 58.123, -37.049, ACCEL, 392.80, -895.02, 1340.72, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.37, -1.49, Lin 0-1 t=0.037 +Circle
-63.243, 22.002, 20.057, 160.713, 58.098, -36.958, ACCEL, 393.51, -893.78, 1338.62, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.64, -0.61, Lin 0-1 t=0.038 +Circle
-63.212, 21.962, 20.064, 160.684, 58.073, -36.906, ACCEL, 394.22, -894.38, 1337.67, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.77, +0.50, Lin 0-1 t=0.039 +Circle
-63.204, 21.854, 19.971, 160.679, 58.059, -36.897, ACCEL, 394.94, -896.57, 1338.24, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.69, +1.42, Lin 0-1 t=0.040 +Circle
-63.213, 21.746, 19.841, 160.688, 58.073, -36.913, ACCEL, 395.65, -899.53, 1340.10, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.21, +1.80, Lin 0-1 t=0.041 +Circle
-63.216, 21.639, 19.711, 160.696, 58.113, -36.929, ACCEL, 396.36, -902.13, 1342.56, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.35, +1.49, Lin 0-1 t=0.042 +Circle
-63.198, 21.559, 19.581, 160.692, 58.152, -36.922, ACCEL, 397.08, -903.38, 1344.66, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.63, +0.62, Lin 0-1 t=0.043 +Circle
-63.146, 21.556, 19.544, 160.666, 58.192, -36.878, ACCEL, 397.79, -902.80, 1345.62, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.77, -0.49, Lin 0-1 t=0.044 +Circle
-63.070, 21.620, 19.607, 160.617, 58.220, -36.789, ACCEL, 398.50, -900.61, 1345.06, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.71, -1.41, Lin 0-1 t=0.045 +Circle
-62.979, 21.684, 19.708, 160.554, 58.221, -36.675, ACCEL, 399.22, -897.65, 1343.20, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.24, -1.80, Lin 0-1 t=0.046 +Circle
-62.892, 21.748, 19.809, 160.492, 58.196, -36.561, ACCEL, 399.93, -895.05, 1340.75, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.32, -1.50, Lin 0-1 t=0.047 +Circle
-62.826, 21.784, 19.910, 160.442, 58.171, -36.470, ACCEL, 400.64, -893.79, 1338.64, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.62, -0.63, Lin 0-1 t=0.048 +Circle
-62.795, 21.745, 19.918, 160.413, 58.147, -36.417, ACCEL, 401.36, -894.35, 1337.67, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.78, +0.48, Lin 0-1 t=0.049 +Circle
-62.788, 21.638, 19.827, 160.408, 58.133, -36.409, ACCEL, 402.07, -896.53, 1338.22, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.74, +1.41, Lin 0-1 t=0.050 +Circle
-62.797, 21.531, 19.695, 160.417, 58.146, -36.426, ACCEL, 402.78, -899.49, 1340.07, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.27, +1.80, Lin 0-1 t=0.051 +Circle
-62.801, 21.424, 19.564, 160.427, 58.185, -36.444, ACCEL, 403.50, -902.10, 1342.52, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.30, +1.50, Lin 0-1 t=0.052 +Circle
-62.785, 21.344, 19.433, 160.423, 58.224, -36.438, ACCEL, 404.21, -903.37, 1344.64, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.61, +0.63, Lin 0-1 t=0.053 +Circle
