# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 1586  Weld ON: 1586  Weave: 1586  Patterns: Sine
# Phases: ACCEL: 267  CRUISE: 1050  DECEL: 266  STOP: 3

-71.853, 8.015, 25.408, 176.395, 62.916, -49.460, CRUISE, 328.08, -1034.02, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +3.00, +0.00, Lin 0-1 t=0.489 +Sine
-71.759, 7.940, 25.343, 176.377, 62.913, -49.359, CRUISE, 330.06, -1034.57, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.45, +0.00, Lin 0-1 t=0.500 +Sine
-71.682, 7.807, 25.226, 176.362, 62.901, -49.275, CRUISE, 332.04, -1036.03, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.99, +0.00, Lin 0-1 t=0.511 +Sine
-71.611, 7.649, 25.086, 176.348, 62.886, -49.198, CRUISE, 334.01, -1037.86, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.84, +0.00, Lin 0-1 t=0.523 +Sine
-71.536, 7.509, 24.963, 176.333, 62.875, -49.117, CRUISE, 335.99, -1039.38, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.36, +0.00, Lin 0-1 t=0.534 +Sine
-71.446, 7.424, 24.888, 176.316, 62.870, -49.020, CRUISE, 337.96, -1040.02, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -3.00, +0.00, Lin 0-1 t=0.545 +Sine
-71.338, 7.410, 24.876, 176.295, 62.875, -48.904, CRUISE, 339.94, -1039.54, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.52, +0.00, Lin 0-1 t=0.557 +Sine
-71.213, 7.456, 24.916, 176.272, 62.888, -48.770, CRUISE, 341.92, -1038.12, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.10, +0.00, Lin 0-1 t=0.568 +Sine
-71.080, 7.529, 24.980, 176.248, 62.905, -48.629, CRUISE, 343.89, -1036.29, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.73, +0.00, Lin 0-1 t=0.580 +Sine
-70.952, 7.585, 25.030, 176.224, 62.920, -48.492, CRUISE, 345.87, -1034.73, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.29, +0.00, Lin 0-1 t=0.591 +Sine
