# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 241  Weld ON: 0  Weave: 0
# Phases: ACCEL: 36  CRUISE: 167  DECEL: 36  STOP: 2

-56.954, 33.549, 56.617, -120.855, -39.461, 37.750, DECEL, 357.18, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.884
-56.590, 33.270, 56.479, -120.651, -39.821, 37.671, DECEL, 362.17, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.895
-56.229, 32.989, 56.339, -120.452, -40.178, 37.598, DECEL, 367.15, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.905
-55.871, 32.707, 56.197, -120.257, -40.533, 37.528, DECEL, 372.14, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.916
-55.516, 32.424, 56.054, -120.065, -40.884, 37.463, DECEL, 377.12, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.926
-55.164, 32.139, 55.909, -119.878, -41.233, 37.403, DECEL, 382.11, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.937
-54.815, 31.853, 55.763, -119.695, -41.580, 37.346, DECEL, 387.09, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.947
-54.469, 31.566, 55.614, -119.514, -41.923, 37.293, DECEL, 392.08, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.958
-54.126, 31.278, 55.465, -119.338, -42.264, 37.244, DECEL, 397.06, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.968
-53.786, 30.988, 55.313, -119.164, -42.602, 37.198, DECEL, 402.05, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.979
-53.448, 30.698, 55.161, -118.993, -42.937, 37.155, DECEL, 407.03, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.989
-53.114, 30.406, 55.006, -118.826, -43.270, 37.115, ACCEL, 412.02, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.000
-53.109, 30.592, 54.812, -118.467, -43.092, 36.626, ACCEL, 412.02, -734.02, 961.71, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.017
-53.109, 30.781, 54.616, -118.103, -42.910, 36.129, ACCEL, 412.02, -734.02, 966.70, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.034
-53.109, 30.966, 54.419, -117.738, -42.731, 35.632, ACCEL, 412.02, -734.02, 971.69, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.051
-53.109, 31.147, 54.220, -117.372, -42.555, 35.134, ACCEL, 412.02, -734.02, 976.68, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.068
