# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 200  Weld ON: 200  Weave: 167  Patterns: Circle
# Phases: ACCEL: 35  CRUISE: 146  DECEL: 17  STOP: 2

-122.135, -14.647, 130.467, -92.376, 115.171, -123.035, ACCEL, 333.07, 215.75, 853.80, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.26, +0.90, Curve u=0.169 +Circle
-122.043, -14.152, 130.758, -92.229, 115.254, -122.813, ACCEL, 335.25, 220.51, 852.78, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.84, +0.29, Curve u=0.176 +Circle
-122.457, -13.814, 130.903, -92.371, 114.925, -122.585, ACCEL, 339.46, 221.30, 851.28, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.68, -0.75, Curve u=0.184 +Circle
-123.146, -13.672, 130.975, -92.726, 114.366, -122.481, ACCEL, 344.55, 219.61, 850.83, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.88, -0.70, Curve u=0.191 +Circle
-123.560, -13.495, 131.140, -92.952, 114.030, -122.449, CRUISE, 348.53, 220.05, 851.32, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.82, +0.31, Curve u=0.199 +Circle
-123.611, -13.124, 131.423, -92.942, 113.992, -122.351, CRUISE, 351.39, 223.74, 851.39, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.07, +0.90, Curve u=0.206 +Circle
-123.688, -12.691, 131.680, -92.907, 113.939, -122.155, CRUISE, 354.43, 227.22, 850.37, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.72, +0.38, Curve u=0.213 +Circle
-124.069, -12.431, 131.778, -93.051, 113.638, -121.961, CRUISE, 358.07, 227.29, 848.96, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.32, -0.57, Curve u=0.221 +Circle
-124.648, -12.400, 131.748, -93.352, 113.173, -121.865, CRUISE, 361.64, 224.53, 848.20, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.59, -0.88, Curve u=0.228 +Circle
-125.161, -12.424, 131.741, -93.649, 112.756, -121.856, CRUISE, 364.80, 222.12, 848.37, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.85, -0.28, Curve u=0.235 +Circle
-125.490, -12.297, 131.871, -93.836, 112.490, -121.841, CRUISE, 368.01, 222.29, 848.85, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.25, +0.60, Curve u=0.243 +Circle
-125.733, -11.993, 132.100, -93.942, 112.299, -121.745, CRUISE, 371.76, 224.28, 848.77, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +0.54, +0.89, Curve u=0.250 +Circle
-126.047, -11.685, 132.275, -94.065, 112.055, -121.583, CRUISE, 375.62, 225.40, 847.87, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.81, +0.32, Curve u=0.257 +Circle
